type	id	guardian	time	unixtime	weekday	weekday_num	hour	day_night	seek	location
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:01:54.000Z	1423371714	Sun	7	6	day	4:51	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:03.000Z	1423371723	Sun	7	6	day	5:00	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:10.000Z	1423371730	Sun	7	6	day	5:07	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:14.000Z	1423371734	Sun	7	6	day	5:11	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:17.000Z	1423371737	Sun	7	6	day	5:14	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:26.000Z	1423371746	Sun	7	6	day	5:23	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:29.000Z	1423371749	Sun	7	6	day	5:26	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:33.000Z	1423371753	Sun	7	6	day	5:30	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:39.000Z	1423371759	Sun	7	6	day	5:36	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:48.000Z	1423371768	Sun	7	6	day	5:45	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:03:39.000Z	1423371819	Sun	7	6	day	0:35	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:04:01.000Z	1423371841	Sun	7	6	day	0:57	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:04:21.000Z	1423371861	Sun	7	6	day	1:17	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:04:42.000Z	1423371882	Sun	7	6	day	1:38	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:05:19.000Z	1423371919	Sun	7	6	day	2:15	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:05:57.000Z	1423371957	Sun	7	6	day	2:53	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:06:04.000Z	1423371964	Sun	7	6	day	3:00	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:06:07.000Z	1423371967	Sun	7	6	day	3:03	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:06:34.000Z	1423371994	Sun	7	6	day	3:30	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-09-05	ed7f84df28eb	2015-02-08T05:09:48.000Z	1423372188	Sun	7	6	day	0:43	ed7f84df28eb-2015-02-08T05-09-05.wav
chainsaw	ed7f84df28eb-2015-02-08T05-15-05	ed7f84df28eb	2015-02-08T05:18:51.000Z	1423372731	Sun	7	6	day	3:46	ed7f84df28eb-2015-02-08T05-15-05.wav
